HouseholdRole,Age,Sex,Education,MonthlyIncome,IncomeLevel,IndustryCode,HouseholdSES,HouseholdItem,PeriodStay,FamilySES,MeanSES,Ketena
0,5,1,98,,,,,,,,,1
0,27,1,10,,,,,,,,,1
0,21,1,8,,,,,,,,,1
1,28,0,5,500,Low,6,3,3,1,2,2.666666667,1
0,25,1,4,,,,,,,,,1
0,40,1,,,,,,,,,,1
0,22,1,8,,,,,,,,,1
1,28,0,10,400,Low,,3,2,8,2,2.333333333,1
0,26,1,8,,,,,,,,,1
0,1,1,,,,,,,,,,1
0,21,0,8,,,,,,,,,1
1,28,0,4,400,Low,6,3,2,3,2,2.333333333,1
0,22,1,7,,,,,,,,,1
0,25,1,5,,,,,,,,,1
0,20,1,8,,,,,,,,,1
0,3,0,,,,,,,,,,1
1,30,0,10,500,Low,6,3,2,1,2,2.333333333,1
1,24,0,14,400,Low,6,3,2,4,2,2.333333333,1
0,20,0,10,,,,,,,,,1
0,19,1,10,,,,,,,,,1
1,26,0,6,500,Low,6,3,2,98,2,2.333333333,1
0,22,1,0,,,,,,,,,1
1,30,0,10,500,Low,6,3,2,2,1,2,1
0,27,1,8,,,,,,,,,1
0,1,1,,,,,,,,,,1
1,75,0,4,2000,Medium,12,1,2,17,2,1.666666667,1
0,56,1,,,,,,,,,,1
0,9,1,3,,,,,,,,,1
1,29,0,10,3500,High,98,3,2,5,2,2.333333333,1
0,27,1,6,,,,,,,,,1
0,1,1,,,,,,,,,,1
1,21,0,8,500,Low,6,3,2,2,2,2.333333333,1
0,18,0,6,,,,,,,,,1
1,45,0,3,1000,Medium,6,1,2,16,2,1.666666667,1
0,33,1,5,,,,,,,,,1
0,11,1,6,,,,,,,,,1
0,4,1,98,,,,,,,,,1
1,40,1,8,500,Low,6,3,2,40,1,2,1
0,17,0,10,,,,,,,,,1
0,14,1,8,,,,,,,,,1
0,10,0,5,,,,,,,,,1
1,38,1,7,500,Low,6,1,1,38,1,1,1
0,17,1,11,,,,,,,,,1
0,13,0,7,,,,,,,,,1
1,28,0,7,300,Low,6,3,1,10,1,1.666666667,1
0,20,1,7,,,,,,,,,1
0,3,1,,,,,,,,,,1
0,11,1,,,,,,,,,,1
1,50,1,0,500,Low,6,1,2,18,2,1.666666667,1
0,20,1,8,,,,,,,,,1
0,17,1,4,,,,,,,,,1
1,40,0,4,1500,Medium,6,,2,12,2,2,1
0,30,1,,,,,,,,,,1
0,12,0,5,,,,,,,,,1
0,10,1,4,,,,,,,,,1
0,5,0,98,,,,,,,,,1
0,2,0,,,,,,,,,,1
1,30,0,10,1000,Medium,6,1,2,13,2,1.666666667,1
0,23,1,12,,,,,,,,,1
