duration,enum,ignore,ignore_2,person_id,wereda,treatmentcontrol,age,ketena,relationship,education,partner_education,norms_1_treatment,norms_2_treatment,femaletrait_treatment,femaletrait_treatment_recode_1,femaletrait_treatment_recode_2,femaletrait_treatment_recode_3,femaletrait_treatment_recode_mean,ideal_employee_treatment,ideal_employee_treatment_1,ideal_employee_treatment_2,ideal_employee_treatment_3,ideal_employee_treatment_4,ideal_employee_treatment_5,ideal_employee_treatment_6,ideal_employee_treatment_98,employed_treatment,job_treatment,previous_job_treatment,previous_job_treatment_id,job_id_treatment_total,partner_employed_treatment,partner_job_treatment,partner_job_treatment_id,coworker_classmate_treatment,previous_coworker_classmate_treatment,coworker_classmate_treatment_total,supervisor_treatment,previous_supervisor_treatment,supervisor_treatment_total,values_1,values_2,values_3,values_4,attitudes_grt_1,attitudes_grt_4,attitudes_grt_3,gender_att_exp_1,attitudes_grt_2,gender_att_exp_2,attitudes_force_1,attitudes_force_2,attitudes_force_3,attitudes_force_4,ideal_employee,ideal_employee_1,ideal_employee_2,ideal_employee_3,ideal_employee_4,ideal_employee_5,ideal_employee_6,ideal_employee_98,norms_1,norms_2,femaletrait,femaletrait_recode_1,femaletrait_recode_2,femaletrait_recode_3,femaletrait_recode_3_mean,employed,job,job_id,previous_job,previous_job_id,job_id_total,partner_employed,partner_job,partner_job_id,coworker_classmate,previous_coworker_classmate,coworker_classmate_total,supervisor,previous_supervisor,supervisor_total,norms_1_com,norms_2_com,femaletrait_recode_com,ideal_employee_com,employed_com,job_id_com,partner_employed_com,partner_job_id_com,supervisor_com,coworker_classmate_com,military,living_situation,chores,ses,ses_1,ses_2,ses_3,ses_4,ses_5,ses_6,ses_98
2572,3,0,1,11810191,1,0.436603119,40,1,1,3,3,98,98,,,,,,1 2 6,1,1,0,0,0,1,0,1,Construction,,,6,1,Manufacturing (textiles),3,4,,4,1,,1,4,4,4,4,-1,1,-1,,1,,2,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,98,,1 2 6,1,6,1,3,1,4,1,,3,1 3,1,0,1,0,0,0,0
2045,1,0,0,11911001,1,0.709151773,55,4,1,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,4,3,0,0,0,,0,,4,4,4,4,2 3 6,0,1,1,0,0,1,0,-1,-1,Work hard and Good leadership,1,,,1,1,Self employed,7,,,7,1,Secretary,14,2,,2,2,,2,-1,-1,1,2 3 6,1,7,1,14,2,2,1,,3,1 2 3 5,1,1,1,0,1,0,0
1758,2,1,0,11812236,1,0.50344154,24,97,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,0,1,-1,,0,,1,2,4,4,2 3 4,0,1,1,1,0,0,0,0,-1,98,,,,,1,Construction,6,,,6,,,,1,,1,0,,0,0,-1,,2 3 4,1,6,,,0,1,0,2,3,3 6,0,0,1,0,0,1,0
1644,3,0,1,11812221,1,0.795784447,50,7,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,98,0,-1,,0,,4,4,4,4,3 4 6,0,0,1,1,0,1,0,1,1,"Follow orders appropriately, employ talents to the fullest extent, quick to ask about something they don’t know, don’t rash decision-making, patient, performs tasks calmly",0,0,1,0.333333333,1,Guard,14.1,,,14.1,,,,2,,2,0,,0,1,1,0.333333333,3 4 6,1,14.1,,,0,2,1,1,,,0,0,0,0,0,0,0
1134,3,0,1,11810566,1,0.57184927,45,97,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,98,98,98,0,1,0,,1,,4,4,4,4,1 5 6,1,0,0,0,1,1,0,0,-1,Compassion,0,,,0,1,Driver,8,,,8,,,,2,,2,0,,0,0,-1,0,1 5 6,1,8,,,0,2,1,1,,1 3,1,0,1,0,0,0,0
989,3,0,1,11810188,1,0.952988106,19,3,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,4,1,0,0,,1,,4,4,3,4,2 3 6,0,1,1,0,0,1,0,-1,-1,"Caregiving, hardworking, humility",0,1,0,0.333333333,1,Weaving,7,,,7,,,,3,,3,0,,0,-1,-1,0.333333333,2 3 6,1,7,,,0,3,0,2,2,1 3 4 5 6,1,0,1,1,1,1,0
2196,2,1,0,11710011,1,0.580610258,60,3,1,3,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,0,1,-1,,0,,4,2,4,4,1 2 4,1,1,0,1,0,0,0,98,1,"Customer service (de-escalation), serve others well ,conscientious",0,0,,0,1,Street vendor (fruits and vegetables),7.11,,,7.11,1,Street vendor (fruits and vegetables),7.11,4,,4,2,,2,98,1,0,1 2 4,1,7.11,1,7.11,2,4,1,,0,2 3 6,0,1,1,0,0,1,0
5629,2,1,0,11810309,1,0.102294982,38,7,1,3,3,1,-1,Humility,0,,,0,2 3 6,0,1,1,0,0,1,0,1,Trade/Retail,,,7,1,cafeteria,9,1,,1,2,,2,2,4,2,4,0,0,-1,,0,,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,0,2 3 6,1,7,1,9,2,1,0,,2,1 2 3 6,1,1,1,0,0,1,0
1098,1,0,0,11910334,1,0.235937165,49,8,1,5,2,-1,0,Honesty and Hard worker,0,1,,0.5,2 3 6,0,1,1,0,0,1,0,0,,Construction,6,6,0,,,,1,1,,0,0,4,4,4,4,1,1,0,,0,,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,0,0.5,2 3 6,0,6,0,,0,1,1,,1,1 3 6,1,0,1,0,0,1,0
1680,1,0,0,11911361,1,0.839269046,41,7,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,4,0,1,0,,1,,4,3,4,4,1 2 6,1,1,0,0,0,1,0,98,-1,,,,,,1,Guard,14.1,,,14.1,0,,,2,,2,0,,0,98,-1,,1 2 6,1,14.1,0,,0,2,1,,3,1,1,0,0,0,0,0,0
